Epoch,GenLoss,DiscLoss,Train MAE,Train MAPE,Val MAE,Val MAPE
1,1.5221,1.4046,0.008145,4948.09,0.009443,6395.32
2,1.4538,1.3876,0.007531,4818.86,0.009742,6264.98
3,1.4235,1.3841,0.007228,4665.76,0.009586,8081.56
4,1.4039,1.3826,0.007027,4687.88,0.007236,5703.72
5,1.3993,1.3816,0.006976,4697.74,0.006972,5441.46
6,1.3817,1.3809,0.00679,4632.42,0.007153,5075.9
7,1.3731,1.3789,0.00668,4573.62,0.007296,5115.91
8,1.3642,1.3796,0.006601,4582.95,0.008413,7127.11
9,1.3627,1.3761,0.006531,4605.33,0.007531,4667.37
10,1.3685,1.3718,0.006515,4616.2,0.007996,4677.98
11,1.3847,1.361,0.006511,4653.25,0.009279,8547.93
12,1.4222,1.3436,0.006599,4791.35,0.007118,5135.4
13,1.4718,1.3252,0.006779,4989.62,0.007001,5521.84
14,1.5334,1.2983,0.006943,5167.83,0.007088,5613.59
15,1.5673,1.2766,0.006894,5179.21,0.008058,5490.6
16,1.6294,1.2478,0.006995,5350.95,0.007311,5336.41
17,1.6864,1.2201,0.007015,5320.74,0.014915,9806.75
18,1.8119,1.1837,0.007429,5735.65,0.007198,4951.69
19,1.8419,1.162,0.007326,5621.07,0.013539,6912.54
20,1.9791,1.1172,0.007615,6067.17,0.007979,6125.02
21,1.9882,1.1026,0.007382,5696.35,0.007787,6709.62
22,2.0634,1.0761,0.00744,5724.27,0.007502,4942.81
23,2.2773,1.0304,0.008183,6488.4,0.007637,5058.65
24,2.3909,0.9948,0.008276,6526.08,0.007989,6244.5
25,2.3362,0.9984,0.007973,6234.42,0.008061,5813.9
