Epoch,GenLoss,DiscLoss,Train MAE,Train MAPE,Val MAE,Val MAPE
1,2.7267,0.9424,0.009612,6789.99,0.009033,5819.47
2,2.5843,0.9825,0.009337,6441.04,0.009686,5570.84
3,2.6408,0.9546,0.009424,6475.27,0.011648,7367.15
4,3.1014,0.8333,0.010121,7032.76,0.021887,19901.51
5,2.9728,0.8876,0.009845,6955.1,0.018239,9244.97
6,2.9136,0.888,0.00965,6813.09,0.009955,7735.42
7,2.9444,0.8753,0.009778,6669.07,0.009762,5967.19
8,2.868,0.9139,0.009586,6600.53,0.010405,6247.66
9,2.6871,0.9441,0.009302,6308.77,0.009952,7620.77
10,2.7084,0.9406,0.009428,6417.27,0.012575,7093.0
11,2.7279,0.9285,0.00928,6395.15,0.011011,7083.66
12,2.7719,0.9196,0.009303,6390.98,0.008908,5501.6
13,2.7926,0.9135,0.009307,6266.47,0.011831,7049.14
14,3.6989,0.6965,0.010717,7596.6,0.009603,5607.33
15,4.0608,0.6576,0.01122,7814.85,0.011118,7812.39
16,3.7236,0.7395,0.010604,7251.82,0.010074,5860.02
17,3.4051,0.7891,0.010151,6979.17,0.010181,7121.89
18,3.1984,0.8309,0.009835,6678.4,0.009794,6069.98
19,3.1168,0.8414,0.009635,6483.37,0.009688,7429.55
20,3.1151,0.8386,0.009583,6462.18,0.010361,6017.89
21,3.8769,0.6926,0.011223,7805.13,0.011207,8372.08
22,3.8615,0.6854,0.010561,7106.96,0.010132,6056.22
23,3.7269,0.7299,0.01026,6927.32,0.009736,6213.72
24,3.4499,0.7724,0.009796,6572.28,0.010418,7791.02
25,3.2631,0.8101,0.009559,6383.84,0.011897,6866.75
